Surname;First name;Cl.name;Class;Time;Pl;Points;SSOL1;SSOL2;SSOL3;SSOL4;SSOL5;Sum;Average;ID
Cankar;Uroš;ŠOK;M21;0:24:47;8;6;7;;;8;6;21;7;1034
Andrejc;David;OK Slovenj Gradec;M21;0:33:26;9;5;6;5;;-;5;16;5;289
Andrejc;Žiga;OK Slovenj Gradec;M21;;;;10;;;;;10;10;470
Drešček;Andraž;OK Azimut;M21;;;;3;;;7;;10;5;481
Petrovič;Blaž;OK Polaris;M21;0:20:22;5;10;;;;;10;10;10;70
Mrak;Tibor;OK Azimut;M21;;;;;10;;;;10;10;194
Zorman;Jernej;OK Komenda;M21;;;;;8;;;;8;8;276
Kavčič;Jure;OK Komenda;M21;0:22:25;7;7;;;;;7;7;7;901
Močnik;Nejc;OK Azimut;M21;;;;;6;;;;6;6;190
Andrejc;Klemen;OK Slovenj Gradec;M21;;;;5;;;;;5;5;216
Smole;Brin;OK Polaris;M21;;;;;4;;;;4;4;318
Cesar;Jaka;OK Slovenj Gradec;M21;;;;4;;;;;4;4;1043
Marot;Blaž;OK Slovenj Gradec;M21;;;;-;3;;;;3;3;290
Petrovič;Gašper;OK Polaris;M21;;;;;;;;;0;0;71
Škarabot;Matej;OK Polaris;M21;;;;;;;;;0;0;132
Smole;Juš;OK Polaris;M21;;;;;;;;;0;0;317
Močnik;Saš;OK Polaris;M21;;;;;;;;;0;0;323
Golja;Elio;OK Polaris;M21;;;;;;;;;0;0;664
Rebolj;Aljoša;OK Polaris;M21;;;;;;;;;0;0;711
Borštnik;Andrej;OK Tivoli;M21;;;;;;;;;0;0;25
Dovč;Jan;OK Tivoli;M21;;;;;;;;;0;0;410
Kračun;Rajko;Kamniški OK;M21;;;;;;;;;0;0;133
Zobavnik;Aleš;Kamniški OK;M21;;;;;;;;;0;0;698
Lapajne;Jošt;OK Azimut;M21;;;;;;;;;0;0;363
Rupnik;Ambrož;OK Azimut;M21;;;;;;;;;0;0;778
Mukhidinov;Sarhiy;OK Azimut;M21;;;;;;;;;0;0;1042
Korenjak;Miha;OK Komenda;M21;;;;;;;;;0;0;995
Furman;Zoran;OK Slovenske Konjice;M21;;;;;;;;;0;0;5
Kunc;Gregor;OK Tivoli;M21;;;;;;;;;0;0;499
Gregorc;Urban;PD Ajdovščina;M21;;;;;;;;;0;0;859
Boyadzhiev ml.;Ivan;MOK;M21;;;;;;;;;0;0;590
Mikuž;Erik;OK Azimut;M21;wrongKat;;;;;;*;*;0;0;1085
Zmrzlikar;Jure;OK Komenda;M21;;;;;;;;;0;0;72
Kölner;Blaž;OK Komenda;M35;0:17:25;1;25;25;25;;25;25;75;25;556
Dudić;Marko;OK Slovenj Gradec;M35;0:19:07;2;20;15;-;;10;20;45;15;467
Gavrilov;Igor;OK Komenda;M35;0:20:03;4;12;;;;20;12;32;16;967
Eržen;Valentin;OK Azimut;M35;;;;8;7;;15;;30;10;386
Zupan;Gregor;OK Komenda;M35;0:20:49;6;8;;20;;*;8;28;14;712
Pust;Tomaž;OK Komenda;M35;;;;12;15;;-;;27;14;893
Anderluh;Gregor;OK Polaris;M35;;;;;8;;12;;20;10;155
Poljanšek;Aleš;OK Azimut;M35;0:19:33;3;15;;;;5;15;20;10;176
Petrovič;Dušan;OK Polaris;M35;;;;20;;;;;20;20;69
Bogataj;Boštjan;OK Azimut;M35;0:21:19;7;7;;4;;7;7;18;6;765
Raj;Gregor;OK Slovenj Gradec;M35;0:31:25;17;1;;12;;3;1;16;5;282
Obid;Marko;OK Azimut;M35;0:21:32;8;6;;10;;;6;16;8;392
Jazbar;Jožko;OK Azimut;M35;wrongKat;;;10;5;;1;*;16;5;106
Sedej;Matej;OK Azimut;M35;0:23:34;12;2;2;2;;8;2;12;4;108
Jarc;Andrej;OK Komenda;M35;0:22:05;9;5;;;;6;5;11;6;1086
Kremžar;Tomaž;OK Komenda;M35;0:20:14;5;10;;;;;10;10;10;910
Malus;Franc;OK Komenda;M35;;;;3;6;;;;9;4;904
Andrejc;Gregor;OK Slovenj Gradec;M35;0:24:54;13;1;7;;;;1;8;4;214
Miheljak;Blaž;OK Slovenj Gradec;M35;;;;6;;;;;6;6;283
Šuc;Timotej;OK Komenda;M35;0:26:21;14;1;1;1;;4;1;6;2;946
Foški;Valter;OK Polaris;M35;;;;4;;;2;;6;3;58
Pritržnik;Tomaž;OK Slovenj Gradec;M35;;;;5;;;;;5;5;957
Cimerman;Andrej;OK Polaris;M35;0:22:38;10;4;;;;;4;4;4;444
Kurinčič;Simon;OK Komenda;M35;0:22:50;11;3;;;;;3;3;3;838
Pogorelčnik;Primož;OK Slovenj Gradec;M35;0:36:52;19;1;1;1;;1;1;3;1;854
Gantar;Kristjan;OK Azimut;M35;mp;;;;3;;;-;3;3;918
Kenda;Klemen;OK Azimut;M35;;;;1;1;;;;2;1;1
Pahor;Marko;OK Komenda;M35;;;;1;1;;;;2;1;959
Seljak;Borut;OK Komenda;M35;0:27:41;15;1;;;;;1;1;1;721
Koprivc;Matjaž;OK Azimut;M35;;;;;1;;;;1;1;239
Logar;Erik;OK Azimut;M35;0:29:27;16;1;;;;;1;1;1;53
Pobega;Davor;OK Tivoli;M35;0:31:37;18;1;;;;;1;1;1;1038
Sušnik;Rok;OK Azimut;M35;;;;;1;;;;1;1;308
Vidič;Matej;OK Azimut;M35;;;;;-;;;;0;0;757
Cokan;Samo;OK Slovenj Gradec;M35;;;;;;;;;0;0;217
Pretnar;Janez;Kamniški OK;M35;;;;;;;;;0;0;102
Kolman;Miran;Kamniški OK;M35;;;;;;;;;0;0;123
Kokelj;Denis;Kamniški OK;M35;;;;;;;;;0;0;436
Knap;Franc;OK Azimut;M35;;;;;;;;;0;0;97
Cimerman;Janez;OK Azimut;M35;;;;;;;;;0;0;394
Peternelj;Jože;OK Azimut;M35;;;;;-;;;;0;0;1071
Rojc;Iztok;OK Polaris;M35;;;;;;;;;0;0;65
Kmetič;Sandi;OK Polaris;M35;;;;;;;;;0;0;67
Lebar;Daniel;OK Slovenske Konjice;M35;;;;;;;;;0;0;6
Bauman;Boris;MOK;M35;;;;;;;;;0;0;62
Šalamun;Miro;OK Polaris;M50;0:18:27;1;25;25;20;;25;25;75;25;2
Zupan;Aleš;OK Polaris;M50;0:19:30;2;20;20;15;;15;20;55;18;55
Škarabot;Miha;OK Polaris;M50;0:20:41;3;15;12;25;;;15;52;17;54
Eržen;Boris;ŠOK;M50;mp;;;15;12;;20;-;47;16;559
Bončina;Igor;OK Slovenske Konjice;M50;;;;8;10;;12;;30;10;98
Borštnik;Aleš;OK Tivoli;M50;0:29:24;5;10;7;5;;10;10;27;9;24
Babič;Silvo;OK Komenda;M50;0:23:33;4;12;;;;8;12;20;10;914
Smole;Dušan;OK Polaris;M50;;;;10;8;;;;18;9;472
Močnik;Griša;OK Polaris;M50;;;;;7;;;;7;7;321
Keresteš;Krešo;OK Trzin;M50;;;;;6;;;;6;6;3
Leban;Marijan;OK Azimut;M50;mp;;;;;;;-;0;0;186
Radovan;Dalibor;OK Polaris;M50;;;;;;;;;0;0;148
Tarabocchia;Cesare;OK Azimut;M50;;;;;;;;;0;0;91
Kacin;Emil;OK Azimut;M50;;;;;;;;;0;0;96
Kunc;Robert;OK Tivoli;M50;;;;;;;;;0;0;726
Sedej;Vlado;OK Azimut;M60;0:23:56;2;20;20;15;;25;20;65;22;118
Lapajne;Janko;OK Azimut;M60;0:21:50;1;25;15;;;;25;40;20;105
Sladič;Roman;ŠOK;M60;mp;;;;20;;20;-;40;20;39
Čufer;Stanko;PD Ajdovščina;M60;;;;25;;;;;25;25;336
Močnik;Silvij;OK Azimut;M60;;;;;25;;;;25;25;193
Zaman;Silvester;OK Azimut;M60;;;;12;;;;;12;12;1005
Vodovnik;Mirko;OK Slovenj Gradec;M60;;;;-;12;;;;12;12;288
Nelson;Charles;OK Azimut;M60;;;;;;;;;0;0;643
Kete;Ivo;PD Ajdovščina;M60;;;;;;;;;0;0;412
Boyadzhiev;Ivan;MOK;M60;;;;;;;;;0;0;635
Raj;Lili Ivana;OK Slovenj Gradec;Ž10;mp;;;25;25;;15;-;65;22;949
Eržen;Nika;OK Azimut;Ž10;0:13:30;1;25;12;15;;20;25;60;20;984
Kurinčič;Jerca;OK Komenda;Ž10;0:16:26;2;20;10;8;;25;20;55;18;996
Andrejc;Miša;OK Slovenj Gradec;Ž10;0:27:02;7;7;20;12;;8;7;40;13;1016
Gantar;Brina;OK Azimut;Ž10;0:18:03;3;15;;20;;;15;35;18;1003
Mezga;Frida;OK Slovenj Gradec;Ž10;0:26:30;6;8;15;;;7;8;30;10;979
Poženel;Leila Ema;OK Komenda;Ž10;0:24:18;4;12;8;10;;6;12;30;10;1002
Bizjak;Julija;OK Azimut;Ž10;0:28:21;8;6;;7;;10;6;23;8;1054
Pahor;Manca;OK Komenda;Ž10;0:25:01;5;10;7;;;4;10;21;7;1046
Jeraj;Mija;OK Komenda;Ž10;mp;;;;;;12;-;12;12;1040
Šuc;Teja;OK Komenda;Ž10;mp;;;;6;;5;-;11;6;1001
Prezelj;Timeja;OK Azimut;Ž10;;;;;5;;;;5;5;1059
Cvelbar;Mila;OK Azimut;Ž10;;;;;;;;;0;0;942
Škvarča;Ajda;OK Azimut;Ž10;;;;;;;;;0;0;1010
Čadež;Ana;OK Azimut;Ž10;;;;;;;;;0;0;1056
Mlakar;Alicija;OK Slovenj Gradec;Ž10;;;;-;;;;;0;0;1065
Kremžar;Klara;OK Komenda;Ž10;;;;;;;;;0;0;1026
Kölner;Brina;OK Komenda;Ž12;0:08:53;1;25;25;25;;20;25;75;25;803
Raj;Ema Pika;OK Slovenj Gradec;Ž12;0:22:19;6;8;20;20;;15;8;55;18;853
Jeraj;Ajda;OK Komenda;Ž12;0:12:19;2;20;;;;25;20;45;22;896
Jarc;Ajda;OK Komenda;Ž12;0:13:43;3;15;;;;12;15;27;14;1029
Žižek;Zarja;OK Azimut;Ž12;0:15:41;4;12;15;;;;12;27;14;994
Kerševan;Sara;PD Ajdovščina;Ž12;;;;-;15;;;;15;15;1067
Lončar;Naja;OK Komenda;Ž12;0:16:16;5;10;;;;;10;10;10;885
Anderluh;Ana Maja;OK Polaris;Ž12;;;;;;;;;0;0;813
Mahkovec;Klara;PD Ajdovščina;Ž12;;;;;-;;;;0;0;1024
Eržen;Nea;OK Azimut;Ž16;0:14:38;1;25;25;25;;25;25;75;25;597
Obid;Neža;OK Azimut;Ž16;0:14:59;3;15;;20;;15;15;50;17;847
Leban;Manja;OK Azimut;Ž16;0:14:41;2;20;;;;20;20;40;20;783
Razpet;Tajda;OK Azimut;Ž16;0:18:34;6;8;;15;;10;8;33;11;1009
Lozar;Zala;PD Ajdovščina;Ž16;;;;20;8;;;;28;14;863
Mamič;Hana;PD Ajdovščina;Ž16;;;;15;10;;;;25;12;864
Malus;Vita;OK Komenda;Ž16;0:16:51;4;12;-;;;12;12;24;12;898
Majdič;Špela;OK Azimut;Ž16;0:23:22;8;6;;12;;-;6;18;9;987
Močnik;Jana;OK Azimut;Ž16;0:20:07;7;7;;;;8;7;15;8;973
Mohorič;Lana;OK Azimut;Ž16;0:18:10;5;10;;;;;10;10;10;1076
Ugrin;Nikolina;OK Tivoli;Ž16;;;;;;;;;0;0;988
Kunc;Mojca;OK Tivoli;Ž16;;;;;;;;;0;0;774
Ilovar;Pia;OK Tivoli;Ž16;;;;;;;;;0;0;836
Kremžar;Lucija;OK Komenda;Ž16;;;;;;;;;0;0;911
Tušar;Teja;OK Azimut;Ž18;0:14:11;1;25;25;25;;25;25;75;25;735
Ravnikar;Nika;OK Komenda;Ž18;0:17:33;2;20;12;12;;20;20;52;17;441
Pust;Karin;OK Komenda;Ž18;0:18:20;4;12;15;15;;12;12;42;14;837
Kern;Tina;OK Komenda;Ž18;;;;20;20;;;;40;20;647
Serženta Seljak;Zala;OK Azimut;Ž18;0:18:15;3;15;;10;;15;15;40;13;936
Nemec;Neža;OK Komenda;Ž18;;;;;;;10;;10;10;1084
Škarabot;Anja;OK Polaris;Ž18;;;;;;;;;0;0;399
Anderluh;Katarina Eva;OK Polaris;Ž18;;;;;;;;;0;0;445
Flerin Drevenšek;Mojca;Kamniški OK;Ž21;;;;25;20;;25;;70;23;82
Poljanšek;Nika;OK Azimut;Ž21;0:20:05;2;20;20;15;;15;20;55;18;257
Babič;Katja;OK Komenda;Ž21;0:17:10;1;25;;25;;-;25;50;25;818
Pogačar;Ana Pia;OK Komenda;Ž21;0:21:00;3;15;15;12;;-;15;42;14;515
Zavrl;Zala;OK Komenda;Ž21;0:21:43;4;12;;8;;20;12;40;13;513
Ravnikar;Monika;OK Komenda;Ž21;0:24:59;6;8;;7;;8;8;23;8;357
Foški;Brina;OK Polaris;Ž21;;;;12;;;10;;22;11;128
Kmetec;Barbara;Kamniški OK;Ž21;0:27:08;8;6;10;;;5;6;21;7;667
Lampe;Ajda;OK Komenda;Ž21;0:26:37;7;7;;;;6;7;13;6;431
Jezeršek;Polona;OK Komenda;Ž21;;;;;;;12;;12;12;715
Gantar;Lara;OK Azimut;Ž21;;;;;10;;;;10;10;673
Razpet;Deja;OK Azimut;Ž21;0:22:40;5;10;;-;;-;10;10;10;733
Zupan;Lara;OK Komenda;Ž21;;;;;5;;3;;8;4;762
Foški;Tajda;OK Polaris;Ž21;;;;;;;7;;7;7;129
Mirnik Cerar;Jona;OK Komenda;Ž21;;;;;6;;;;6;6;545
Štanfel;Urša;OK Azimut;Ž21;;;;;;;4;;4;4;117
Jeram;Nuša;OK Azimut;Ž21;;;;;;;;;0;0;421
Osterman;Eneja;OK Polaris;Ž21;;;;;;;;;0;0;66
Štrumbelj;Lana;OK Polaris;Ž21;;;;;;;;;0;0;855
Flerin Drevenšek;Suzana;Kamniški OK;Ž21;;;;;;;;;0;0;316
Bogataj;Tajda;OK Azimut;Ž21;;;;;;;;;0;0;843
Knafelj;Tajda;OK Azimut;Ž21;;;;;;;;;0;0;843
Jolič;Barbara;OK Komenda;Ž21;;;;;;;;;0;0;1045
Balažič;Petja;OK Slovenj Gradec;Ž35;0:18:55;2;20;25;20;;25;20;70;23;294
Raj;Nastja;OK Slovenj Gradec;Ž35;0:24:44;8;6;20;12;;15;6;47;16;203
Pribaković Borštnik;Ana;OK Tivoli;Ž35;;;;;25;;20;;45;22;23
Močnik;Tina;OK Komenda;Ž35;0:18:37;1;25;;;;12;25;37;18;1032
Hacin Kölner;Irena;OK Komenda;Ž35;0:21:42;4;12;12;7;;-;12;31;10;630
Paradiž;Petra;OK Komenda;Ž35;0:25:43;11;3;10;15;;5;3;30;10;912
Plavčak;Ana;ŠOK;Ž35;0:22:47;5;10;;8;;7;10;25;8;401
Žižek;Saša;OK Azimut;Ž35;0:24:51;9;5;8;;;10;5;23;8;110
Foški;Mojca;OK Polaris;Ž35;;;;15;;;8;;23;12;59
Gantar;Damjana;OK Azimut;Ž35;0:21:11;3;15;;6;;;15;21;10;919
Bončina;Abigael Vanessa;OK Slovenske Konjice;Ž35;;;;6;10;;3;;19;6;931
Malus;Marta;OK Komenda;Ž35;0:23:35;7;7;2;5;;6;7;18;6;982
Gombač Šuc;Elena;OK Komenda;Ž35;0:33:42;13;1;7;3;;4;1;14;5;945
Obid;Maja;OK Azimut;Ž35;0:23:10;6;8;;1;;-;8;9;4;933
Gorjup Poženel;Darja;OK Komenda;Ž35;0:28:59;12;2;1;4;;2;2;8;3;1025
Istenič;Maja;OK Azimut;Ž35;0:36:41;14;1;5;2;;1;1;8;3;930
Bogataj;Špela;OK Komenda;Ž35;0:25:35;10;4;;;;-;4;4;4;1022
Štifter;Ksenija;OK Slovenj Gradec;Ž35;;;;4;;;;;4;4;955
Visinski Andrejc;Maja;OK Slovenj Gradec;Ž35;;;;3;;;;;3;3;229
Sedej;Katarina;OK Azimut;Ž35;0:36:45;15;1;1;1;;1;1;3;1;992
Bogataj;Nataša;OK Azimut;Ž35;;;;;;;1;;1;1;817
Mihelič Porogelčnik;Anja;OK Slovenj Gradec;Ž35;;;;;;;;;0;0;1015
Benigar;Lidija;Kamniški OK;Ž35;;;;;;;;;0;0;277
Kobentar;Katja;Kamniški OK;Ž35;;;;;;;;;0;0;668
Zagorc;Tina;Kamniški OK;Ž35;;;;;;;;;0;0;670
Zupan;Romana;OK Komenda;Ž45;0:21:10;1;25;;25;;25;25;75;25;713
Prosen;Maja;OK Komenda;Ž45;0:32:25;6;8;20;20;;15;8;55;18;232
Vuga Seljak;Alenka;OK Komenda;Ž45;0:22:24;2;20;;12;;20;20;52;17;612
Kordiš Miheljak;Urška;OK Slovenj Gradec;Ž45;;;;25;15;;;;40;20;465
Jerše;Damjana;OK Polaris;Ž45;0:23:36;3;15;15;10;;-;15;40;13;868
Balažič;Irena;OK Slovenj Gradec;Ž45;0:26:55;4;12;10;7;;;12;29;10;298
Škarabot;Alenka;OK Polaris;Ž45;0:28:08;5;10;6;;;12;10;28;9;462
Pogorevčnik;Olga;OK Slovenj Gradec;Ž45;;;;12;6;;;;18;9;958
Stojan;Petra;OK Komenda;Ž45;;;;8;8;;;;16;8;892
Vodlan;Darja;OK Polaris;Ž45;;;;7;5;;;;12;6;1051
Kovač;Marija;PD Ajdovščina;Ž45;;;;5;;;;;5;5;352
Prezelj;Klavdija;OK Azimut;Ž45;wrongKat;;;;4;;;*;4;4;1070
Poljanšek;Marjanca;OK Azimut;Ž45;;;;;;;;;0;0;188
Debeljak;Maruša;OK Polaris;Ž45;;;;;;;;;0;0;322
Fras;Tina;OK Slovenj Gradec;Ž45;;;;;;;;;0;0;1000
Pretnar;Irma;Kamniški OK;Ž45;;;;;;;;;0;0;99
Anderluh;Marija;OK Polaris;Ž45;;;;;;;;;0;0;400
Kunc Rešek;Natalija;OK Tivoli;Ž45;;;;;;;;;0;0;900
